Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q15,Q16,Q17,Q18_1,Q18_2,Q19,Q20,Q21,Finished,RecordedDate
"This survey should take about 5-10 minutes to complete.     This survey has been developed by staff from multiple Faculties to help us understand the current research software development needs at the University of Strathclyde and how they can be best supported to ensure research grants and KE are competitive. Personal information (email address) is only optionally collected for specific purposes (e.g. prize draw) at the end of the survey and will be deleted once those purposes are fulfilled. Otherwise the survey is anonymous and data will be kept indefinitely. Results will be published in internal reports and presentations and may be included in external publications. You may withdraw at any point by not completing the survey and we will not use partial responses.        Questions about this survey can be sent to ***REMOVED***   This survey has been submitted for ethics approval.     Thank you for considering participating.  Oliver Henrich, Benjamin Hourahine, Romain Michalec, Fredrik Nordvall Forsberg, Leighton Pritchard, Daniel Thomas, Neil Ghani on behalf of The Strathclyde Research Software Engineers community     Please confirm eligibility for the survey by selecting the text below.",In which faculty are you based? - Selected Choice,In which department are you based? - Selected Choice,Which of the following organisations usually fund your research?    Tick all that apply. Alphabetical with UKRI funders grouped. - Selected Choice,What is your position? - Selected Choice,"Do you use research software? ""Research software"" is any software you have used in the generation of a result that you expect to appear in a publication. This might be anything from a few-line script to clean some data, to a fully fledged software suite. It includes code you have written yourself and code written by someone else.",How important is research software to your work?,Have you developed your own research software?,How do you rate your software development expertise?,Do you feel that you have received sufficient training to develop reliable research software?,Would you be interested in the university helping you commercialise some of your research software?,Do you feel that your research software is ready to be released or used outside of your group?,"Have you used ARCHIE-WeSt, the University's high-performance computing (HPC) system? - Selected Choice",How confident are you with the following technologies? Pick only one per row. - Version control,How confident are you with the following technologies? Pick only one per row. - Unit/regression testing,How confident are you with the following technologies? Pick only one per row. - Continuous integration,How confident are you with the following technologies? Pick only one per row. - Compilation and linking,How confident are you with the following technologies? Pick only one per row. - Documentation generators,How would you rate the university's current level of support for your software development needs?,Have you or someone in your group ever hired a person specifically to develop software?,Have you ever included costs for software development in a funding proposal?,How suitable would the following models be for your software development needs? - Hire a full-time software developer,How suitable would the following models be for your software development needs? - Recruit a developer from a central Strathclyde pool as needed,"If you wish to enter the prize draw for one of ten £20 Amazon vouchers, please enter your valid email address below, otherwise leave blank.","Free software consultation    Dependent on demand, we will make available a number of free half-day consultations for you to meet with a Research Software Engineer and discuss any software issues that you are experiencing.   If you are interested in this consultation, please provide your email address below and we will follow up to gain a better understanding of the help we could provide.     If you are interested in a free consultation, please enter your valid email address below, otherwise leave blank.","RSE @ Strathclyde mailing list   We have a dedicated mailing list http://lists.strath.ac.uk/mailman/listinfo/rse-announce to announce the events we organize, and in particular our monthly software engineering clinics (Hacky Hours).    If you are interested in keeping in touch with the local community of Research Software Engineers, please provide your email address below.    If you would like to sign up to our RSE mailing list, please enter your valid email address below, otherwise leave blank.",Finished,Recorded Date
"{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID23""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}"
"I confirm that I am 18 or over, I conduct research or knowledge exchange at the University of Strathclyde, and I agree to take part in this survey.",Faculty of Engineering,"Naval Architecture, Ocean and Marine Engineering","ERC,UKRI: EPSRC",Research/KE/Teaching Associate/Assistant,Yes,Vital,Yes,5: Expert,No,No,"Yes, it has already been released","No, I do not require HPC in my research",Confident,Confident,Confident,Confident,Confident,1: Poor,"Yes, someone in my group has","No, but we DID expect to write software as part of the project",Suitable,Perfect,***REMOVED***,,***REMOVED***,True,2020-07-09 02:32:02
"I confirm that I am 18 or over, I conduct research or knowledge exchange at the University of Strathclyde, and I agree to take part in this survey.",Faculty of Science,Computer and Information Sciences,"ERC,Scottish Funding Council,UKRI: EPSRC,UKRI: NERC",Faculty or Chancellor’s Fellow,Yes,Vital,Yes,4,No,Yes,Yes,"Yes, I also use other HPC facilities",Very confident,Confident,Confident,Confident,Confident,2,"Yes, I have",Yes,Suitable,Perfect,,,,True,2020-07-09 06:08:59
"I confirm that I am 18 or over, I conduct research or knowledge exchange at the University of Strathclyde, and I agree to take part in this survey.",Faculty of Engineering,Architecture,UKRI: EPSRC,Faculty or Chancellor’s Fellow,Yes,Very important,Yes,4,No,Yes,"Yes, it has already been released","No, I do not require HPC in my research",Not confident,Not heard of it,Not heard of it,Confident,Not heard of it,2,"Yes, someone in my group has","No, but we DID expect to write software as part of the project",Unsuitable,Suitable,,,,True,2020-07-09 06:10:35
"I confirm that I am 18 or over, I conduct research or knowledge exchange at the University of Strathclyde, and I agree to take part in this survey.",Faculty of Humanities and Social Sciences,Law,"ERC,UKRI: AHRC",Faculty or Chancellor’s Fellow,Yes,Not at all,No,,,,,,,,,,,,No,"No, we did NOT expect to write software as part of the project",,,,,,True,2020-07-09 06:11:32
"I confirm that I am 18 or over, I conduct research or knowledge exchange at the University of Strathclyde, and I agree to take part in this survey.",Strathclyde Business School,Government and Public Policy,"ERC,UKRI: ESRC",Research/KE/Teaching Associate/Assistant,No,Not at all,No,,,,,,,,,,,,No,"No, I'm not involved in writing funding proposals",,,,,,True,2020-07-09 06:12:37
"I confirm that I am 18 or over, I conduct research or knowledge exchange at the University of Strathclyde, and I agree to take part in this survey.",Faculty of Science,Computer and Information Sciences,Industry,Research/KE/Teaching Associate/Assistant,Yes,Vital,Yes,5: Expert,Yes,Yes,Yes,"No, I do not require HPC in my research",Very confident,Very confident,Very confident,Very confident,Very confident,3: Average,"Yes, someone in my group has","No, I'm not involved in writing funding proposals",Perfect,Perfect,,,,True,2020-07-09 06:14:03
"I confirm that I am 18 or over, I conduct research or knowledge exchange at the University of Strathclyde, and I agree to take part in this survey.",Faculty of Science,Strathclyde Institute of Pharmacy and Biomedical Sciences,"British Heart Foundation,UKRI: BBSRC,UKRI: Innovate UK",Faculty or Chancellor’s Fellow,Yes,Vital,Yes,5: Expert,Yes,Yes,"Yes, it has already been released","No, but I would like to use ARCHIE-WeSt in the future",Very confident,Very confident,Very confident,Confident,Very confident,3: Average,No,Yes,Suitable,Suitable,***REMOVED***,,,True,2020-07-09 07:20:34
"I confirm that I am 18 or over, I conduct research or knowledge exchange at the University of Strathclyde, and I agree to take part in this survey.",Faculty of Engineering,Chemical and Process Engineering,,PGR Student,No,Not at all,No,,,,,,,,,,,,No,"No, I'm not involved in writing funding proposals",,,***REMOVED***,,,True,2020-07-09 07:21:38
