answers,department,percentage
 Manufacturing and Engineering Management,1,1.0
 Ocean and Marine Engineering,2,2.0
Architecture,12,13.0
Biomedical Engineering,1,1.0
Chemical and Process Engineering,5,5.0
Civil and Environmental Engineering,2,2.0
Computer and Information Sciences,11,12.0
Design,1,1.0
Electronic and Electrical Engineering,9,9.0
Law,1,1.0
Management Science,1,1.0
Mathematics and Statistics,6,6.0
Mechanical and Aerospace Engineering,11,12.0
Naval Architecture,2,2.0
Physics,19,20.0
Psychological Sciences and Health,3,3.0
Pure and Applied Chemistry,7,7.0
Strathclyde Institute of Pharmacy and Biomedical Sciences,1,1.0
