Q2,Q3,Q19,Finished
Faculty,Department,Entered in prize draw for one of ten £20 Amazon vouchers,Finished
Faculty of Engineering,Architecture,***REMOVED***,True
Faculty of Engineering,Architecture,***REMOVED***,True
Faculty of Engineering,Architecture,***REMOVED***,True
Faculty of Engineering,Architecture,***REMOVED***,True
Faculty of Engineering,Biomedical Engineering,***REMOVED***,True
Faculty of Engineering,Chemical and Process Engineering,***REMOVED***,True
Faculty of Engineering,Chemical and Process Engineering,***REMOVED***,True
Faculty of Engineering,Chemical and Process Engineering,***REMOVED***,True
Faculty of Engineering,Chemical and Process Engineering,***REMOVED***,True
Faculty of Engineering,Chemical and Process Engineering,***REMOVED***,True
Faculty of Engineering,Chemical and Process Engineering,***REMOVED***,True
Faculty of Engineering,Civil and Environmental Engineering,***REMOVED***,True
Faculty of Engineering,Civil and Environmental Engineering,***REMOVED***,True
Faculty of Engineering,Computer and Information Sciences,***REMOVED***,True
Faculty of Engineering,"Design, Manufacturing and Engineering Management",***REMOVED***,True
Faculty of Engineering,Electronic and Electrical Engineering,***REMOVED***,True
Faculty of Engineering,Electronic and Electrical Engineering,***REMOVED***,True
Faculty of Engineering,Electronic and Electrical Engineering,***REMOVED***,True
Faculty of Engineering,Electronic and Electrical Engineering,***REMOVED***,True
Faculty of Engineering,Electronic and Electrical Engineering,***REMOVED***,True
Faculty of Engineering,Electronic and Electrical Engineering,***REMOVED***,True
Faculty of Engineering,Electronic and Electrical Engineering,***REMOVED***,True
Faculty of Engineering,Electronic and Electrical Engineering,***REMOVED***,True
Faculty of Engineering,Mechanical and Aerospace Engineering,***REMOVED***,True
Faculty of Engineering,Mechanical and Aerospace Engineering,***REMOVED***,True
Faculty of Engineering,Mechanical and Aerospace Engineering,***REMOVED***,True
Faculty of Engineering,Mechanical and Aerospace Engineering,***REMOVED***,True
Faculty of Engineering,Mechanical and Aerospace Engineering,***REMOVED***,True
Faculty of Engineering,"Naval Architecture, Ocean and Marine Engineering",***REMOVED***,True
Faculty of Engineering,"Naval Architecture, Ocean and Marine Engineering",***REMOVED***,True
Faculty of Humanities and Social Sciences,Law,***REMOVED***,True
Faculty of Humanities and Social Sciences,Psychological Sciences and Health,***REMOVED***,True
Faculty of Humanities and Social Sciences,Psychological Sciences and Health,***REMOVED***,True
Faculty of Science,Mathematics and Statistics,***REMOVED***,True
Faculty of Science,Mathematics and Statistics,***REMOVED***,True
Faculty of Science,Mathematics and Statistics,***REMOVED***,True
Faculty of Science,Physics,***REMOVED***,True
Faculty of Science,Physics,***REMOVED***,True
Faculty of Science,Physics,***REMOVED***,True
Faculty of Science,Physics,***REMOVED***,True
Faculty of Science,Physics,***REMOVED***,True
Faculty of Science,Physics,***REMOVED***,True
Faculty of Science,Physics,***REMOVED***,True
Faculty of Science,Physics,***REMOVED***,True
Faculty of Science,Physics,***REMOVED***,True
Faculty of Science,Physics,***REMOVED***,True
Faculty of Science,Pure and Applied Chemistry,***REMOVED***,True
Faculty of Science,Pure and Applied Chemistry,***REMOVED***,True
Faculty of Science,Pure and Applied Chemistry,***REMOVED***,True
Faculty of Science,Pure and Applied Chemistry,***REMOVED***,True
Faculty of Science,Pure and Applied Chemistry,***REMOVED***,True
Faculty of Science,Strathclyde Institute of Pharmacy and Biomedical Sciences,***REMOVED***,True
Faculty of Science,Strathclyde Institute of Pharmacy and Biomedical Sciences,***REMOVED***,True
Faculty of Science,Strathclyde Institute of Pharmacy and Biomedical Sciences,***REMOVED***,True
Faculty of Science,Strathclyde Institute of Pharmacy and Biomedical Sciences,***REMOVED***,True
Faculty of Science,Strathclyde Institute of Pharmacy and Biomedical Sciences,***REMOVED***,True
Faculty of Science,Strathclyde Institute of Pharmacy and Biomedical Sciences,***REMOVED***,True
Faculty of Science,Strathclyde Institute of Pharmacy and Biomedical Sciences,***REMOVED***,True
Strathclyde Business School,Economics,***REMOVED***,True
