answers,responses
confirm,103
faculty,103
department,103
funders,98
position,103
use_software,103
importance_software,103
develop_own_code,103
development_expertise,63
sufficient_training,63
want_to_commercialise,63
ready_to_release,63
hpc_use,63
version_control,63
unit_regression_testing,63
continuous_integration,63
compilation,63
documentation,63
uni_support,60
hired_developer,103
costed_developer,103
hire_full_time_developer,84
hire_pool_developer,94
voucher,51
consulting,20
mailing,33
Finished,103
